Code;ForecastDate;ForecastType;ForecastStart;ForecastEnd;PrecipitationProbability;WeatherConditions;PrecipitationType;ExpectedPrecipitationAmount;MinimumTemperature;MaximumTemperature;WindDirection;WindSpeed;PrecipitationAmountDay;Notes;global_id
588035;07.10.2019 05:45;трехчасовой прогноз;07.10.2019 09:00;07.10.2019 12:00;;;дождь;;2;4;;;;Днем местами небольшие осадки 0-1 мм. Температура 2…4 градуса. Ветер  северо-западный, западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер западный 5-10 м/сек.;1011834357
588435;09.10.2019 05:40;трехчасовой прогноз;09.10.2019 09:00;09.10.2019 12:00;;;дождь;;6;8;;;;Днем временами дождь от небольшого до умеренного 1-4 мм. Температура 6…8 градусов. Ветер  западный 5-10 м/сек. Ночью местами небольшой дождь 0-2 мм. Температура 5…7 градусов. Ветер юго-западный 3-8 м/сек.;1011840370
588634;10.10.2019 05:52;трехчасовой прогноз;10.10.2019 09:00;10.10.2019 12:00;;;дождь;;9;11;;;;Днем временами дождь 4-9 мм. Температура 9…11 градусов. Ветер юго-западный 3-8 м/сек. Ночью временами дождь 1-3 мм. Температура 6…8 градусов. Ветер западный 5-10 м/сек.;1011911954
588823;11.10.2019 05:44;трехчасовой прогноз;11.10.2019 09:00;11.10.2019 12:00;;;дождь;;9;11;;;;Днем местами небольшой дождь 0-1 мм. Температура 9…11 градусов. Ветер западный 5-10 м/сек. Ночью местами небольшой дождь 0-1 мм. Температура 6…8 градусов. Ветер юго-западный 5-10 м/сек.;1012042179
589022;12.10.2019 05:51;трехчасовой прогноз;12.10.2019 09:00;12.10.2019 12:00;;;дождь;;9;11;;;;Днем временами дождь 3-8 мм. Температура 9…11 градусов. Ветер юго- западный 5-10 м/сек, местами порывы 12-17 м/сек. Ночью временами дождь 2-4 мм. Температура 8…10 градусов. Ветер западный 5-10 м/сек, местами порывы 12-17 м/сек.;1014897440
589218;13.10.2019 05:24;трехчасовой прогноз;13.10.2019 09:00;13.10.2019 12:00;;;без осадков;;11;13;;;;Днем местами небольшой дождь 0-1 мм. Температура 11…13 градусов. Ветер западный 5-10 м/сек, местами порывы 12-17 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 6…8 градусов. Ветер западный 5-10 м/сек.;1014901314
589415;14.10.2019 05:49;трехчасовой прогноз;14.10.2019 09:00;14.10.2019 12:00;;;без осадков;;11;13;;;;Днем во второй половине дня небольшой дождь 0,5-3 мм. Температура 11…13 градусов. Ветер западный, юго-западный 5-10 м/сек. Ночью без существенных осадков 0-0,5 мм. Температура 8…10 градусов. Ветер западный 5-10 м/сек, местами порывы 15 м/сек.;1014912213
589611;15.10.2019 05:40;трехчасовой прогноз;15.10.2019 09:00;15.10.2019 12:00;;;дождь;;11;13;;;;Днем без существенных осадков 0-0,5 мм. Температура 11…13 градусов. Ветер западный 5-10 м/сек, местами порывы 15 м/сек. Ночью без существенных осадков 0-0,3 мм. Температура 4…6 градусов. Ветер слабый менее 5 м/сек.;1015037244
589808;16.10.2019 05:28;трехчасовой прогноз;16.10.2019 09:00;16.10.2019 12:00;;;дождь;;9;11;;;;Днем без существенных осадков 0-0,2 мм. Температура 9…11 градусов. Ветер юго-восточный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 7…9 градусов. Ветер южный 3-8 м/сек.;1015056235
590006;17.10.2019 05:32;прогноз на текущий день и ближайшую ночь;17.10.2019 09:00;18.10.2019 09:00;;;дождь;;13;17;;;;Днем местами небольшой дождь 0-1 мм. Температура 13…15 градусов, местами до 17 градусов. Ветер юго-западный 5-10 м/сек. Ночью местами небольшой дождь 0-1 мм. Температура 8…10 градусов. Ветер западный 4-9 м/сек.;1015094564
590005;17.10.2019 05:21;трехчасовой прогноз;17.10.2019 09:00;17.10.2019 12:00;;;дождь;;13;17;;;;Днем местами небольшой дождь 0-1 мм. Температура 13…15 градусов, местами до 17 градусов. Ветер юго-западный 5-10 м/сек. Ночью местами небольшой дождь 0-1 мм. Температура 8…10 градусов. Ветер западный 4-9 м/сек.;1015094574
590203;18.10.2019 05:26;трехчасовой прогноз;18.10.2019 09:00;18.10.2019 12:00;;;дождь;;12;14;;;;Днем местами небольшой дождь 0-1 мм. Температура 12…14 градусов. Ветер западный 4-9 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 8…10 градусов. Ветер юго-западный 3-8 м/сек.;1015100958
590400;19.10.2019 05:57;трехчасовой прогноз;19.10.2019 09:00;19.10.2019 12:00;;;без осадков;;13;15;;;;Днем без осадков. Температура 13…15 градусов. Ветер юго-западный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 10…12 градусов. Ветер южный 3-8 м/сек.;1015210431
590596;20.10.2019 05:34;трехчасовой прогноз;20.10.2019 09:00;20.10.2019 12:00;;;дождь;;15;17;;;;Днем без существенных осадков 0-0,2 мм. Температура 15…17 градусов. Ветер южный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 10…12 градусов. Ветер юго-западный 3-8 м/сек.;1015211463
590782;21.10.2019 05:36;трехчасовой прогноз;21.10.2019 09:00;21.10.2019 12:00;;;дождь;;15;17;;;;Во второй половине дня временами дождь 2-5 мм. Температура 15…17 градусов. Ветер юго-западный 5-10 м/сек. Ночью местами небольшой дождь 0-2 мм. Температура 8…10 градусов. Ветер северо-западный 5-10 м/сек.;1015224510
